starvation_correct,trial_correct,i3S,coral_cam,Kilo_cam,Exp_n,Cage,date_cuno_in,time_cuno_in,ray1,ray2,cuno_size,cuno_location_found,grid,cuno_depth,color,tag_n,used,days_starved,date_coral_in,time_coral_in,date_finish,time_finish,trial_length,combo_specific_spp,combo_general_spp,coral_n,coral_spp_PISFC,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,p_alive_start_1,symbionts_1,p_alive_end_1,p_consumed_1,ranking_coral,rank_n,ate,N_eaten,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,order determined with video?,evidence from video,number of videos spent eating,date/time start eating,coral.visited.first,visited.coral.ate.first,comments
N,N,Y,N,Y,130,C154,6/15/2022,1:10:00 PM,11,11,17,East of Anchor,E11,42,yellow,PIC_114,PIC_114,9,6/24/2022,2:16:00 PM,7/8/2022,9:55:00 AM,14,PVAR_PMEA,PVAR_PMEA,1,PVAR,PVAR,SOUTH,EF,13,12.5,6,40,0,0,100,SECOND,1,YES,both,PMEA,PVAR,,,Y,ate on kilo cam,56 pics,6/25/22 @ 6am-7pm,no.video,no.video,probably started at night
N,N,Y,N,Y,130,C154,6/15/2022,1:10:00 PM,11,11,17,East of Anchor,E11,42,yellow,PIC_114,PIC_114,9,6/24/2022,2:16:00 PM,7/8/2022,9:55:00 AM,14,PVAR_PMEA,PVAR_PMEA,2,PMEA,POSP,NORTH,BR,4,3,9,90,0,0,100,FIRST,2,YES,both,PMEA,PVAR,,,Y,coral went from color to white from 6/24-6/25,N/A,N/A,no.video,no.video,
Y,Y,Y,N,Y,131,C161,8/17/2022,2:15:00 PM,12,12,20,Circle,M12,28,yellow/red,PIC_135,N,7,8/24/2022,1:14:00 PM,8/31/2022,11:51:00 AM,7,MCAP_FSCU,MCAP_FSCU,1,FSCU,FSCU,SOUTH,FR,12,7.5,2,100,0,100,0,NOT_EATEN,0,NO,one,MCAP,,FSCU,,ate one,N/A,N/A,N/A,N/A,N/A,"cuno ""inspected"" the FSCU"
Y,Y,Y,N,Y,131,C161,8/17/2022,2:15:00 PM,12,12,20,Circle,M12,28,yellow/red,PIC_135,N,7,8/24/2022,1:14:00 PM,8/31/2022,11:51:00 AM,7,MCAP_FSCU,MCAP_FSCU,2,MCAP,MCAP,NORTH,EF,12,9,5,15,0,0,100,FIRST,2,YES,one,MCAP,,FSCU,,ate one,ate on kilo cam,49 pics,6/28 @ 6am-6pm,no.video,no.video,
Y,Y,Y,N,Y,132,C162,8/17/2022,2:15:00 PM,10,10.5,16,Circle,M12,28,green/brown,PIC_134,N,7,8/24/2022,1:09:00 PM,8/31/2022,11:43:00 AM,7,PCOM_PLOB,PCOM_PLOB,1,PLOB,PORM,SOUTH,MD,10,8,5,55,0,55,0,NOT_EATEN,0,NO,one,PCOM,,PLOB,,ate one,N/A,N/A,N/A,N/A,N/A,
Y,Y,Y,N,Y,132,C162,8/17/2022,2:15:00 PM,10,10.5,16,Circle,M12,28,green/brown,PIC_134,N,7,8/24/2022,1:09:00 PM,8/31/2022,11:43:00 AM,7,PCOM_PLOB,PCOM_PLOB,2,PCOM,PCOM,NORTH,KN,11,6,5,15,0,5,66.67,FIRST,2,YES,one,PCOM,,PLOB,,ate one,ate on kilo cam,40 pics,8/30 @ 6am-3:15pm,N/A,N/A,did not remove all tissue
Y,Y,Y,N,Y,133,C156,8/17/2022,2:15:00 PM,12.5,12,18,Circle,O12,30,yellow/brown,PIC_133,N,7,8/24/2022,12:58:00 PM,8/31/2022,11:41:00 AM,7,MPAT_PDUE,MPAT_PDUE,1,MPAT,MPAT,SOUTH,EF,13,7.5,7,30,0,25,16.67,SECOND,1,YES,both,PDUE,MPAT,,,Y,ate on kilo cam,7 pics,8/31 @ 6am-7:15am,no.video,no.video,very low tissue removal
Y,Y,Y,N,Y,133,C156,8/17/2022,2:15:00 PM,12.5,12,18,Circle,O12,30,yellow/brown,PIC_133,N,7,8/24/2022,12:58:00 PM,8/31/2022,11:41:00 AM,7,MPAT_PDUE,MPAT_PDUE,2,PDUE,PDUE,NORTH,ML,9.5,6,4.5,50,0,0,100,FIRST,2,YES,both,PDUE,MPAT,,,Y,ate on kilo cam,23 pics,8/29 @ 6am-11:30am,no.video,no.video,
Y,Y,Y,N,Y,135,C163,8/17/2022,2:15:00 PM,11.5,11.5,17,Circle,M12,28,red/yellow,PIC_136,PIC_136,7,8/24/2022,12:51:00 PM,8/31/2022,11:34:00 AM,7,PCOM_PLOB,PCOM_PLOB,1,PCOM,PCOM,SOUTH,KN,18,6,11,15,0,15,0,NOT_EATEN,0,NO,one,,,PLOB,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,there was a cushion star under the cage…? But the cushion from this trial never escaped
Y,Y,Y,N,Y,135,C163,8/17/2022,2:15:00 PM,11.5,11.5,17,Circle,M12,28,red/yellow,PIC_136,PIC_136,7,8/24/2022,12:51:00 PM,8/31/2022,11:34:00 AM,7,PCOM_PLOB,PCOM_PLOB,2,PLOB,PORM,NORTH,MD,6,5.5,4.5,85,0,85,0,NOT_EATEN,0,NO,one,,,PLOB,PCOM,didn't eat,N/A,N/A,N/A,N/A,N/A,there was a cushion star under the cage…? But the cushion from this trial never escaped
