Exp_n,Cage,date_coral_in,time_coral_in,date_finish,combo_general_spp,coral_spp_general,cage_side,growth_form_1,max_d_1,ortho_d_1,height_1,consumed_FIRST,consumed_SECOND,not_consumed_1,not_consumed_2,method_order_determined,camera_evidence,n_videos_eating,n_pics_eating,n_hours_eat,date_time_start,visitied_first,first_eaten_visited_first,feeding_time,comments
142,C157,9/21/22,12:40:00 PM,9/30/22,MPAT_PVAR,PVAR,SOUTH,EF,9,5,4,PVAR,MPAT,,,Y_KILO,ate on kilo cam,NA,49,12+,9/24/22 6:00,NA,NA,both_start_night,
143,C156,9/21/22,12:50:00 PM,9/30/22,MPAT_FSCU,FSCU,NORTH,FR,8.5,6,2,MPAT,,FSCU,,ate one,NA,NA,NA,NA,NA,MPAT,Y,NA,
143,C156,9/21/22,12:50:00 PM,9/30/22,MPAT_FSCU,MPAT,SOUTH,EF,16,10,3,MPAT,,FSCU,,ate one,ate on kilo cam,NA,49,12+,9/26/22 6:00,MPAT,Y,both_start_night,
149,C162,9/30/22,1:52:00 PM,10/5/22,MPAT_FSCU,MPAT,NORTH,EF,16,8,8,FSCU,,MPAT,,ate one,NA,NA,NA,NA,NA,FSCU,Y,NA,
149,C162,9/30/22,1:52:00 PM,10/5/22,MPAT_FSCU,FSCU,SOUTH,FR,9,6,3,FSCU,,MPAT,,ate one,ate on both cams,12,48,12+,10/3/22 6:00,FSCU,Y,both_start_night,
152,C157,10/12/22,2:06:00 PM,10/19/22,MPAT_FSCU,MPAT,NORTH,EF,16,13,5,MPAT,FSCU,,,Y_KILO,color change_kilo,NA,NA,NA,10/12/22-10/13/22,MPAT,Y,overnight,
152,C157,10/12/22,2:06:00 PM,10/19/22,MPAT_FSCU,FSCU,SOUTH,FR,10,8.5,2.5,MPAT,FSCU,,,Y_KILO,ate on kilo cam,NA,47,12+,10/15/22 6:00,MPAT,Y,both_start_night,
154,C162,10/12/22,1:50:00 PM,10/19/22,PLOB_FSCU,FSCU,NORTH,FR,10,7,3,FSCU,PLOB,,,Y_KILO,ate on kilo cam,NA,47,12+,10/14/22 6:00,NA,NA,both_start_night,
154,C162,10/12/22,1:50:00 PM,10/19/22,PLOB_FSCU,PORM,SOUTH,MD,19,13,8,FSCU,PLOB,,,Y_KILO,ate on kilo cam,NA,25,7+,10/17/22 6:00,NA,NA,both_start_night,
155,C161,10/12/22,1:45:00 PM,10/19/22,PLOB_FSCU,PORM,NORTH,MD,14,13,5,FSCU,,PLOB,,ate one,NA,NA,NA,NA,NA,PLOB,N,NA,
155,C161,10/12/22,1:45:00 PM,10/19/22,PLOB_FSCU,FSCU,SOUTH,FR,11,7.5,3,FSCU,,PLOB,,ate one,ate on kilo cam,NA,48,12+,10/13/22 6:00,PLOB,N,both_start_night,
156,C163,10/19/22,2:05:00 PM,10/26/22,MCAP_MPAT,MCAP,NORTH,EF,12,11.5,7.5,MPAT,MCAP,,,Y_KILO,color change_kilo,NA,NA,NA,10/21/22-10/22/22,MPAT,Y,overnight,
156,C163,10/19/22,2:05:00 PM,10/26/22,MCAP_MPAT,MPAT,SOUTH,EF,8.5,5.5,3.5,MPAT,MCAP,,,Y_KILO,color change_kilo,NA,NA,NA,10/19/22-10/20/22,MPAT,Y,overnight,
157,C157,10/19/22,2:15:00 PM,10/26/22,LESP_PMEA,LESP,NORTH,EF,19,16,8,PMEA,,LESP,,ate one,NA,NA,NA,NA,NA,PMEA,Y,NA,
157,C157,10/19/22,2:15:00 PM,10/26/22,LESP_PMEA,POSP,SOUTH,BR,15.5,9,13,PMEA,,LESP,,ate one,ate on both cams,3,12,3+,10/20/22 6:00,PMEA,Y,both_start_night,
158,C156,10/19/22,4:16:00 PM,10/26/22,PVAR_PMEA,PVAR,NORTH,EF,12,7,6,PMEA,PVAR,,,Y_BOTH,ate on both cams,11,43,11+,10/22/22 6:00,PMEA,Y,both_start_night,
158,C156,10/19/22,4:16:00 PM,10/26/22,PVAR_PMEA,POSP,SOUTH,BR,9,7.5,4,PMEA,PVAR,,,Y_BOTH,color change_kilo,NA,NA,NA,10/19/22-10/20/22,PMEA,Y,overnight,
160,C161,10/19/22,4:34:00 PM,10/26/22,MPAT_PVAR,PVAR,NORTH,EF,6,5,5.5,MPAT,,PVAR,,ate one,NA,NA,NA,NA,NA,PVAR,N,NA,
160,C161,10/19/22,4:34:00 PM,10/26/22,MPAT_PVAR,MPAT,SOUTH,EF,6.5,4,4.5,MPAT,,PVAR,,ate one,ate on kilo cam,NA,31,7+,10/23/22 6:00,PVAR,N,both_start_night,
166,C163,11/30/22,12:56:00 PM,12/7/22,PDUE_PMEA,POSP,NORTH,BR,5,4,4,PMEA,PDUE,,,Y_BOTH,color change_kilo,NA,,NA,12/1/22-12/2/22,PDUE,N,overnight,
166,C163,11/30/22,12:56:00 PM,12/7/22,PDUE_PMEA,PDUE,SOUTH,ML,4.5,4,1.5,PMEA,PDUE,,,Y_BOTH,ate on both cams,6,26,6+,12/2/22 6:00,PDUE,N,both_start_night,
167,C157,11/30/22,1:02:00 PM,12/7/22,PVAR_PMEA,POSP,NORTH,BR,5.5,1.5,12.5,PVAR,PMEA,,,Y_KILO,color change_kilo,NA,NA,NA,12/1/22-12/2/22,PVAR,Y,overnight,
167,C157,11/30/22,1:02:00 PM,12/7/22,PVAR_PMEA,PVAR,SOUTH,EF,7,3.5,4,PVAR,PMEA,,,Y_KILO,color change_kilo,NA,NA,NA,11/30/22-12/1/22,PVAR,Y,overnight,
